species,p1_n4,p2_n4_k1,p3_n4_m2,p4_n4,p5_grayscale_n4,p5_occlusion_n4,p5_resolution_n4,p6_n4,p7,computed_total_mcqs,provided_mcq_count,match
BelugaID,2351,1532,2069,,2351,2351,2351,2657,3940,19602,19602,True
SealID,2080,2080,2080,,2080,2080,2080,2080,284,14844,14844,True
NDD20,2657,2657,2657,,2657,2657,2657,2657,409,19008,19008,True
NyalaData,1941,1662,1829,,1941,1941,1941,1942,1185,14382,14382,True
IPanda50,4975,5455,6874,,4975,4975,4975,6874,250,39353,39353,True
BirdIndividualID,957,785,1275,,957,957,957,1275,128,7291,7291,True
Giraffes,1368,1362,1366,,1368,1368,1368,1368,890,10458,10458,True
LeopardID2022,6756,6227,6592,,6756,6756,6756,6806,2150,48799,48799,True
HumpbackWhaleID,13624,8258,11054,,13624,13624,13624,15697,25018,114523,114523,True
Stoat,,,,6733,,,,,,6733,6733,True
Hare,,,,2860,,,,,,2860,2860,True
Wallaby,,,,1937,,,,,,1937,1937,True
Deer,,,,1764,,,,,,1764,1764,True
Penguin,,,,2452,,,,,,2452,2452,True
Pukeko,,,,972,,,,,,972,972,True
CTai,4661,4617,4657,,4661,4661,4661,4662,352,32932,32932,True
Lion,740,726,740,,740,740,740,740,469,5635,5635,True
WhaleSharkID,7662,7171,7572,,7662,7662,7662,7693,2715,55799,55799,True
